key,0,1
#,,
int32,str,str
0,"TEXT_KINGZD302_05115_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>Règle spéciale<Indent/>:  synchronisation de quête<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Shiidil Ja aimerait enquêter sur le terrain avant de réfléchir à un plan."
1,"TEXT_KINGZD302_05115_SEQ_01","* <Emphasis>Cette quête est <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> synchronisée<UIGlow>01</UIGlow><UIForeground>01</UIForeground> avec votre niveau.</Emphasis>

Gotoll Ja et sa femme souhaitent trouver un moyen de lutter contre les wivres enragées qui sévissent dans la région, mais n'ont pour le moment aucune piste concrète. Shiidil Ja a donc suggéré de revenir sur les lieux de leur agression, espérant y découvrir un indice qui permettrait de comprendre pourquoi les pauvres bêtes sont devenues hostiles. De crainte d'être à nouveau attaquée sur le trajet, elle vous a demandé de l'accompagner. Gotoll Ja, quant à lui, a décidé d'interroger plutôt les habitants de Mamook et a remis la protection de sa femme entre vos mains. Dirigez-vous vers le nord du bosquet de Golmajiik et observez les environs aux endroits indiqués, puis abattez vos éventuels assaillants."
2,"TEXT_KINGZD302_05115_SEQ_02","Vous avez vaincu les wivres agressives qui vous ont pris<If(PlayerParameter(4))>e<Else/></If> pour cible, preuve que l'inquiétude de Shiidil Ja était justifiée. Rendez-vous au rocher céleste et attendez à l'endroit indiqué que cette dernière vous rejoigne."
3,"TEXT_KINGZD302_05115_SEQ_03","Shiidil Ja vous a rejoint<If(PlayerParameter(4))>e<Else/></If> sans peine, et vous a chaleureusement remercié<If(PlayerParameter(4))>e<Else/></If> d'avoir sécurisé la route pour elle. Mal<SoftHyphen/>heu<SoftHyphen/>reu<SoftHyphen/>se<SoftHyphen/>ment, ni elle ni vous n'avez remarqué quoi que ce soit d'inhabituel qui permettrait de comprendre pourquoi les wivres se sont emballées... Cependant, votre regard vif lui a tout de même permis de retrouver un bijou qu'elle tenait de son mari et qu'elle avait perdu lors de l'attaque. Shiidil Ja vous a par ailleurs expliqué la raison initiale de sa venue au rocher céleste avec son mari<Indent/>: celui-ci ayant trop souvent tendance à se rabaisser à cause de sa blessure, elle espérait que lui montrer ce lieu chargé de rêves et d'espoirs l'aiderait à lui remonter le moral. Vous n'avez pour le moment plus rien à faire ici, retournez donc à Mamook et parlez à Shiidil Ja."
4,"TEXT_KINGZD302_05115_SEQ_04","Cette fois, c'est Gotoll Ja qui vous était re<SoftHyphen/>con<SoftHyphen/>nais<SoftHyphen/>sant d'avoir veillé sur sa femme. Si cette dernière est rentrée bredouille, ou presque, son mari semble être parvenu à récolter quelques in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions utiles pour lutter contre les wivres. Restez dans les parages pour savoir ce qu'il en est."
5,"TEXT_KINGZD302_05115_SEQ_05",""
6,"TEXT_KINGZD302_05115_SEQ_06",""
7,"TEXT_KINGZD302_05115_SEQ_07",""
