key,0,1
#,,
int32,str,str
0,"TEXT_KINGRA204_05292_SEQ_00","Yaana semble perdue dans ses pensées."
1,"TEXT_KINGRA204_05292_SEQ_01","Vous avez échangé quelques mots avec votre assistante, et avez décidé de retourner aux Trois Queues pour vous préparer avant le prochain match. Retrouvez Yaana devant l'entrée du gymnase."
2,"TEXT_KINGRA204_05292_SEQ_02","À peine aviez-vous fait un pas à l'intérieur que Neyuni vous a accueilli<If(PlayerParameter(4))>e<Else/></If>s, paniquée, et vous a montré une retransmission en direct de Brute Bomber prenant d'assaut une réserve d'âmes. Animé par la rancune, il vous a défié<If(PlayerParameter(4))>e<Else/></If> afin de regagner son titre de champion. Metem vous a alors rejoint<If(PlayerParameter(4))>e<Else/></If>s, et vous a expliqué que le pro<SoftHyphen/>prié<SoftHyphen/>taire avait tout mis en scène, et avait suggéré au Bourreau brûlant d'utiliser plusieurs âmes à la fois pour décupler sa force, une pratique hautement dangereuse, et po<SoftHyphen/>ten<SoftHyphen/>tiel<SoftHyphen/>le<SoftHyphen/>ment mortelle. Yaana vous a imploré<If(PlayerParameter(4))>e<Else/></If> d'accepter ce challenge et de mettre votre adversaire K.O. le plus rapidement possible. Metem vous a précisé qu'un chauffeur vous attend en face de la Société de l'Arcadion pour vous conduire sur le lieu de la rencontre."
3,"TEXT_KINGRA204_05292_SEQ_03","Vous avez parlé à l'employé de l'Arcadion qui vous a amené<If(PlayerParameter(4))>e<Else/></If> sur le site de con<SoftHyphen/>struc<SoftHyphen/>tion du huitième étage. L'heure du duel approche.
* Si vous avez quitté la zone, retournez voir le chauffeur devant l'entrée de la Société de l'Arcadion pour qu'il vous conduise à nouveau à bon port."
4,"TEXT_KINGRA204_05292_SEQ_04","Malgré vos injonctions et celles de Yaana, Brute Bomber s'est injecté plusieurs âmes de créatures en même temps, et s'est transformé en Brute Bombinator, une horrible chimère. Il ne vous reste plus qu'à le mettre hors d'état de nuire avant que cette transformation ne devienne irréversible.
* Vous pouvez utiliser l'outil de mission afin de trouver des équipiers pour accomplir le raid “Poids lourds-légers CCA - match 3”."
5,"TEXT_KINGRA204_05292_SEQ_05","Vous avez triomphé contre Brute Bombinator après un combat absolument explosif. Retrouvez désormais votre assistante.
* Si vous avez quitté la zone, retournez voir le chauffeur devant l'entrée de la Société de l'Arcadion pour qu'il vous conduise à nouveau à bon port."
6,"TEXT_KINGRA204_05292_SEQ_06","Malgré tous vos efforts, le pire est arrivé<Indent/>: Brute Bomber a succombé à la psychodiabrose, car l'absorption de plusieurs âmes avait précipité la maladie. Howling Blade est venu dire un dernier adieu à son ami, et vous a confié qu'il était lui-même conscient de son état, mais qu'il s'était résigné à son sort et avait choisi de mourir au combat. Parlez maintenant à Yaana aux Trois Queues."
7,"TEXT_KINGRA204_05292_SEQ_07","Frustrée par l'attitude de ses confrères combattants, Yaana a été prise de panique en découvrant que sa petite sœur s'était absentée sans la prévenir. Où peut-elle donc être allée<Indent/>? "
