0,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_000","Was willst du? Ich bin nicht zum Plaudern aufgelegt bei der Arbeit. Wenn du kein wichtiges Anliegen hast, dann verschwinde."
1,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_010","Ich bin ein Ritter des Hauses Durendaire. Der Name mag einem Fremden nicht viel sagen, aber es ist der Name eines der besten H\xc3\xa4user von Ishgard."
2,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_011","Ich habe f\xc3\xbcr das Haus in mehr Kampagnen gegen Drachen gek\xc3\xa4mpft als ich an zwei H\xc3\xa4nden abz\xc3\xa4hlen kann. Es m\xc3\xb6gen zwar Bestien sein, aber ihre Klugheit und List sollte man nicht untersch\xc3\xa4tzen."
3,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_012","Wenn unsere Leute in Frieden leben sollen, m\xc3\xbcssen wir jede einzelne dieser verdammten Kreaturen besiegen."
4,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_020","Wei\xc3\x9fenfels-Front war schon immer ein wichtiger Au\xc3\x9fenposten im Krieg gegen die Drachen und ist es besonders jetzt, da die Steinerne Wacht gefallen ist. Aber glaub nicht, dass wir hier tatenlos rumsitzen."
5,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_021","Das Haus Durendaire bereitet eine Gegenoffensive vor, und alle Truppen sammeln sich, um die Steinerne Wacht zur\xc3\xbcckzuerobern. Wenn wir erstmal losmarschieren, solltest du Acht geben, nicht im Weg zu stehen."
6,"TEXT_REGROCWHITEBRIM_00109_Q1_000_000","Was m\xc3\xb6chtest du fragen?"
7,"TEXT_REGROCWHITEBRIM_00109_A1_000_001","Was machst du hier?"
8,"TEXT_REGROCWHITEBRIM_00109_A1_000_002","Was hat es mit diesem Ort auf sich?"
9,"TEXT_REGROCWHITEBRIM_00109_A1_000_003","Nichts."
10,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_100","Sei gegr\xc3\xbc\xc3\x9ft, \x02\x08\x1d\xe9\x05\xff\rAbenteurerin\xff\x0bAbenteurer\x03! Bitte verzeih, dass wir dich nicht mit angemessenem Speis und Trank empfangen k\xc3\xb6nnen. Der Wiederaufbau der Steinernen Wacht erfordert derzeit einen Gro\xc3\x9fteil unserer Aufmerksamkeit und Vorr\xc3\xa4te."
11,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_110","Ich bin ein Ritter des edlen Hauses Durendaire, das zu den m\xc3\xa4chtigsten von Ishgard z\xc3\xa4hlt."
12,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_111","Schon zahlreiche K\xc3\xa4mpfe habe ich gegen die Drachen geschlagen, doch wie du wohl am eigenen Leib erfahren hast, sind die Boshaftigkeit und die Wildheit dieser Bestien nicht zu untersch\xc3\xa4tzen."
13,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_112","Deshalb steht unsere Herrschaft \xc3\xbcber die Steinerne Wacht auf wackeligen Beinen. Die Drachen wurden vertrieben, doch sie k\xc3\xb6nnen jederzeit zur\xc3\xbcckkehren. Wir d\xc3\xbcrfen keine Sekunde lang in unserer Wachsamkeit nachlassen."
14,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_120","Die Wei\xc3\x9fenfels-Front ist die \xc3\xa4u\xc3\x9ferste Verteidigungslinie gegen die Drachenschar und ihre ketzerischen Schergen. Das Haus Durendaire wird alles geben, um die Steinerne Wacht zu alter St\xc3\xa4rke auszubauen und mit einer neuen Garnison zu besetzen."
15,"TEXT_REGROCWHITEBRIM_00109_ELIASSIN_000_121","Bei Halone, mit unserem Flei\xc3\x9f und Blut werden wir Ishgard verteidigen und dem Land unserer Vorv\xc3\xa4ter endlich Frieden bringen!"
