key,0,1
#,,
int32,str,str
0,"TEXT_STMBDZ113_02663_SEQ_00","The look on Serpent Marshal Brookstone's face suggests he has grown tired of waiting."
1,"TEXT_STMBDZ113_02663_SEQ_01","You and the serpent marshal have been waiting on Lieutenant Molkoh for what feels an eternity. Certain she has finished, he asks you to check on her to see what information, if any, could be obtained from the detainee."
2,"TEXT_STMBDZ113_02663_SEQ_02","The lieutenant's talk with the detainee was uneventful. The only thing he is certain of, is that he escaped from Garlean captivity. If he is one of the missing prisoners remains to be seen. Thinking back to where they discovered him, she is convinced the imperial soldiers you recently encountered are related. She rushes to speak with Serpent Marshal Brookstone in the hopes of assembling a unit to apprehend them."
3,"TEXT_STMBDZ113_02663_SEQ_03","Not one to leave anything to chance, the serpent marshal has already dispatched men in search of the soldiers you encountered. Unfortunately, he lacks the manpower to cover all of the Fringes, and is deliberating on how to set about investigating Owyn's Stash. Lieutenant Molkoh readily volunteers on her, and your, behalf, then quickly rushes off to the cave."
4,"TEXT_STMBDZ113_02663_SEQ_04","You find Lieutenant Molkoh at the cave entrance, her enthusiasm replaced with growing reluctance. She sticks close behind as you make your way into Owyn's Stash."
5,"TEXT_STMBDZ113_02663_SEQ_05","Deep within the cave you find a Garlean soldier, and he's gravely injured. Lieutenant Molkoh bids you return to Castrum Oriens for assistance while she stays with your new captive."
6,"TEXT_STMBDZ113_02663_SEQ_06","Without a moment's hesitation, Serpent Marshal Brookstone orders his men to converge on Owyn's Stash to see the captured soldier safely back to Castrum Oriens. Soon you may finally have answers to the whereabouts of the missing prisoners."
7,"TEXT_STMBDZ113_02663_SEQ_07",""
8,"TEXT_STMBDZ113_02663_SEQ_08",""
9,"TEXT_STMBDZ113_02663_SEQ_09",""
10,"TEXT_STMBDZ113_02663_SEQ_10",""
11,"TEXT_STMBDZ113_02663_SEQ_11",""
12,"TEXT_STMBDZ113_02663_SEQ_12",""
13,"TEXT_STMBDZ113_02663_SEQ_13",""
14,"TEXT_STMBDZ113_02663_SEQ_14",""
15,"TEXT_STMBDZ113_02663_SEQ_15",""
16,"TEXT_STMBDZ113_02663_SEQ_16",""
17,"TEXT_STMBDZ113_02663_SEQ_17",""
18,"TEXT_STMBDZ113_02663_SEQ_18",""
19,"TEXT_STMBDZ113_02663_SEQ_19",""
