key,0,1
#,,
int32,str,str
0,"TEXT_KINGMI106_05369_SEQ_00","第二実験室前のシェールは、扉を開けようとしている。"
1,"TEXT_KINGMI106_05369_SEQ_01",""
2,"TEXT_KINGMI106_05369_SEQ_02",""
3,"TEXT_KINGMI106_05369_SEQ_03",""
4,"TEXT_KINGMI106_05369_SEQ_04",""
5,"TEXT_KINGMI106_05369_SEQ_05",""
6,"TEXT_KINGMI106_05369_SEQ_06",""
7,"TEXT_KINGMI106_05369_SEQ_07",""
8,"TEXT_KINGMI106_05369_SEQ_08",""
9,"TEXT_KINGMI106_05369_SEQ_09",""
10,"TEXT_KINGMI106_05369_SEQ_10",""
11,"TEXT_KINGMI106_05369_SEQ_11",""
12,"TEXT_KINGMI106_05369_SEQ_12",""
13,"TEXT_KINGMI106_05369_SEQ_13",""
14,"TEXT_KINGMI106_05369_SEQ_14",""
15,"TEXT_KINGMI106_05369_SEQ_15",""
16,"TEXT_KINGMI106_05369_SEQ_16",""
17,"TEXT_KINGMI106_05369_SEQ_17",""
18,"TEXT_KINGMI106_05369_SEQ_18",""
19,"TEXT_KINGMI106_05369_SEQ_19",""
20,"TEXT_KINGMI106_05369_SEQ_20",""
21,"TEXT_KINGMI106_05369_SEQ_21",""
22,"TEXT_KINGMI106_05369_SEQ_22",""
23,"TEXT_KINGMI106_05369_SEQ_23",""
24,"TEXT_KINGMI106_05369_TODO_00","<Sheet(EventItem,2003769,0)/>を探す"
25,"TEXT_KINGMI106_05369_TODO_01","シェールと話す"
26,"TEXT_KINGMI106_05369_TODO_02","所長室前の<Sheet(EObj,2014909,0)/>に
<Sheet(EventItem,2003769,0)/>を使う"
27,"TEXT_KINGMI106_05369_TODO_03","シェールと話す"
28,"TEXT_KINGMI106_05369_TODO_04","所長室で情報を集める"
29,"TEXT_KINGMI106_05369_TODO_05","シェールに<Sheet(EventItem,2003770,0)/>を渡す"
30,"TEXT_KINGMI106_05369_TODO_06","<Sheet(EObj,2014893,0)/>を調べ、
正しいパスワードを選ぶ"
31,"TEXT_KINGMI106_05369_TODO_07","シェールと話す"
32,"TEXT_KINGMI106_05369_TODO_08","バックルームのシェールと話す"
33,"TEXT_KINGMI106_05369_TODO_09",""
34,"TEXT_KINGMI106_05369_TODO_10",""
