key,0,1
#,,
int32,str,str
0,"TEXT_JOBSCH630_02924_SEQ_00","Surito Carito hat eine Nachricht für dich."
1,"TEXT_JOBSCH630_02924_SEQ_01","Alka Zolka hat Neuigkeiten zu Setotos Verbleib erhalten und erwartet dich in der Gilde der Marodeure in Limsa Lominsa."
2,"TEXT_JOBSCH630_02924_SEQ_02","Die Messingklingen haben Setoto bis zum Rand des Finsterwaldes verfolgt, wo sie ihre Jagd aufgeben mussten. Alka Zolka und du wollt eure Suche in Camp Seelenruhe beginnen."
3,"TEXT_JOBSCH630_02924_SEQ_03","Alka Zolka bittet dich, die Südseite des Camps nach Setoto abzusuchen."
4,"TEXT_JOBSCH630_02924_SEQ_04","Beim ersten Anlauf hast du keinen Erfolg. Halte woanders Ausschau."
5,"TEXT_JOBSCH630_02924_SEQ_05","Auch beim zweiten Mal gehst du leer aus. Setze deine Suche fort."
6,"TEXT_JOBSCH630_02924_SEQ_06","Beim dritten Mal entdeckst du Setoto, die von Wilderern bedroht wird. Schlage die Angreifer in die Flucht!"
7,"TEXT_JOBSCH630_02924_SEQ_07","Du hast Setoto aus den Klauen von Wilderern befreit. Heile sie nun mit Adloquium."
8,"TEXT_JOBSCH630_02924_SEQ_08","Setoto offenbart euch, dass sie auf der Suche nach Spuren ihres Vaters ist, der einst auf eine Mission nach Amdapor geschickt wurde und nie zurückkehrte. Ihr beschließt, eure weiteren Schritte in Camp Seelenruhe zu planen."
9,"TEXT_JOBSCH630_02924_SEQ_09","Ihr bietet Setoto an, ihr bei der Suche nach ihrem Vater zu helfen. Sobald die Lalafell genesen ist, kann es losgehen.

※ Sobald du als Gelehrte<If(PlayerParameter(4))><Else/>r</If> (Hermetiker<If(PlayerParameter(4))>in<Else/></If>) Stufe 65 erreicht hast, kannst du von Alka Zolka in Camp Seelenruhe den nächsten Auftrag erhalten."
10,"TEXT_JOBSCH630_02924_SEQ_10",""
11,"TEXT_JOBSCH630_02924_SEQ_11",""
12,"TEXT_JOBSCH630_02924_SEQ_12",""
13,"TEXT_JOBSCH630_02924_SEQ_13",""
14,"TEXT_JOBSCH630_02924_SEQ_14",""
15,"TEXT_JOBSCH630_02924_SEQ_15",""
16,"TEXT_JOBSCH630_02924_SEQ_16",""
17,"TEXT_JOBSCH630_02924_SEQ_17",""
