key,0,1
#,,
int32,str,str
0,"TEXT_BANSAH309_01408_SEQ_00","Seww a encore besoin de vous pour une mission brûlante."
1,"TEXT_BANSAH309_01408_SEQ_01","Seww a appris qu'une cargaison volée par les pillards du serpent est ac<SoftHyphen/>tu<SoftHyphen/>el<SoftHyphen/>le<SoftHyphen/>ment à bord d'un de leurs navires marchands reconvertis en bateaux pirates. Pour éviter que les mar<SoftHyphen/>chan<SoftHyphen/>di<SoftHyphen/>ses ne servent aux Tridents du corail, il vous a demandé d'aller brûler ce bien mal acquis. Empruntez un elbst à Pahh pour rejoindre le vaisseau et utilisez <SheetFr(EventItem,2,2001292,1,1)/> pour réduire la cargaison en fumée."
2,"TEXT_BANSAH309_01408_SEQ_02","Les mar<SoftHyphen/>chan<SoftHyphen/>di<SoftHyphen/>ses volées ne sont plus qu'un souvenir amer pour les pillards du serpent. Retournez annoncer le succès de votre mission à Seww à la Couvée de Novv."
3,"TEXT_BANSAH309_01408_SEQ_03","Seww s'est réjoui à l'idée de la déception des pillards du serpent. Il est convaincu que de telles missions de sabotage feront beaucoup pour ralentir l'effort de guerre des Tridents du corail."
4,"TEXT_BANSAH309_01408_SEQ_04",""
5,"TEXT_BANSAH309_01408_SEQ_05",""
6,"TEXT_BANSAH309_01408_SEQ_06",""
7,"TEXT_BANSAH309_01408_SEQ_07",""
8,"TEXT_BANSAH309_01408_SEQ_08",""
9,"TEXT_BANSAH309_01408_SEQ_09",""
10,"TEXT_BANSAH309_01408_SEQ_10",""
11,"TEXT_BANSAH309_01408_SEQ_11",""
12,"TEXT_BANSAH309_01408_SEQ_12",""
13,"TEXT_BANSAH309_01408_SEQ_13",""
14,"TEXT_BANSAH309_01408_SEQ_14",""
15,"TEXT_BANSAH309_01408_SEQ_15",""
16,"TEXT_BANSAH309_01408_SEQ_16",""
17,"TEXT_BANSAH309_01408_SEQ_17",""
18,"TEXT_BANSAH309_01408_SEQ_18",""
19,"TEXT_BANSAH309_01408_SEQ_19",""
20,"TEXT_BANSAH309_01408_SEQ_20",""
21,"TEXT_BANSAH309_01408_SEQ_21",""
22,"TEXT_BANSAH309_01408_SEQ_22",""
23,"TEXT_BANSAH309_01408_SEQ_23",""
24,"TEXT_BANSAH309_01408_TODO_00","Brûler la cargaison volée sur le navire marchand des pirates"
