key,0,1
#,,
int32,str,str
0,"TEXT_AKTKZH101_04511_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Quest Sync<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Maira appears to be mildly perturbed."
1,"TEXT_AKTKZH101_04511_SEQ_01","Upon learning that you are not, in fact, a messenger from an expected visitor, Maira enlists you to track said visitor down. As for where you are to search for this “Kleon,” as the guest is known, Maira gestures vaguely in the direction of southerly Zephyrneus.

※Please note that the difficulty of this quest has been synced to your current level."
2,"TEXT_AKTKZH101_04511_SEQ_02","You come to the rescue of a man who you assume is Maira's expected visitor, Kleon. He stands at the spot where you found him, a look of surprised gratitude on his face..."
3,"TEXT_AKTKZH101_04511_SEQ_03","You speak with the man and confirm that he is, indeed, the “Kleon” you were searching for. Return with him to the waiting Maira."
4,"TEXT_AKTKZH101_04511_SEQ_04","Maira is at last united with Kleon, and they discuss the reason for his visit: it seems the guest from Amaurot is concerned with the suitability of his registered concepts when it comes to releasing them into the wild. Impressed by your display of battle prowess during his rescue, Kleon insists that you join them in evaluating the state of his “children.”"
5,"TEXT_AKTKZH101_04511_SEQ_05",""
6,"TEXT_AKTKZH101_04511_SEQ_06",""
7,"TEXT_AKTKZH101_04511_SEQ_07",""
8,"TEXT_AKTKZH101_04511_SEQ_08",""
9,"TEXT_AKTKZH101_04511_SEQ_09",""
10,"TEXT_AKTKZH101_04511_SEQ_10",""
11,"TEXT_AKTKZH101_04511_SEQ_11",""
12,"TEXT_AKTKZH101_04511_SEQ_12",""
13,"TEXT_AKTKZH101_04511_SEQ_13",""
14,"TEXT_AKTKZH101_04511_SEQ_14",""
15,"TEXT_AKTKZH101_04511_SEQ_15",""
16,"TEXT_AKTKZH101_04511_SEQ_16",""
17,"TEXT_AKTKZH101_04511_SEQ_17",""
18,"TEXT_AKTKZH101_04511_SEQ_18",""
19,"TEXT_AKTKZH101_04511_SEQ_19",""
20,"TEXT_AKTKZH101_04511_SEQ_20",""
21,"TEXT_AKTKZH101_04511_SEQ_21",""
22,"TEXT_AKTKZH101_04511_SEQ_22",""
23,"TEXT_AKTKZH101_04511_SEQ_23",""
24,"TEXT_AKTKZH101_04511_TODO_00","Find Kleon, and defeat any monsters which threaten him."
