key,0,1
#,,
int32,str,str
0,"TEXT_BANAMA004_01220_SEQ_00","Hamujj Gah has a task for you that his Amalj'aa soldiers cannot accomplish."
1,"TEXT_BANAMA004_01220_SEQ_01","Hamujj Gah reveals that tempered spies have infiltrated the security of Little Ala Mhigo. With the Amalj'aa unable to approach the settlement without fear of igniting hostilities, it falls to you to broach the issue with Commander Gisilbehrt."
2,"TEXT_BANAMA004_01220_SEQ_02","While confirming Commander Gisilbehrt's suspicions concerning the security breach in the settlement, you are interrupted by reports of an Amalj'aa attack on a travelers' caravan. Head south of Little Ala Mhigo, and rendezvous with the undermanned squad deployed by the commander."
3,"TEXT_BANAMA004_01220_SEQ_03","One of the new flame recruits has revealed himself as a tempered spy. Accost the traitor, and learn what manner of scheme is afoot."
4,"TEXT_BANAMA004_01220_SEQ_04","You have defeated the Flamefang soldiers. Turn your attention back to the flame recruit traitor."
5,"TEXT_BANAMA004_01220_SEQ_05","Loonh Gah fells the fleeing traitor, only to join you in an Amalj'aa trap. The apparent leader of the ambush, Zagozz Teh, taunts the Miqo'te warrior, then easily defeats her as she attempts to loose an arrow at his heart. The raiders depart, sparing you to send a message to Hamujj Gah. First, however, you must return to Little Ala Mhigo and report events to Commander Gisilbehrt."
6,"TEXT_BANAMA004_01220_SEQ_06","The Immortal Flames commander is stricken with guilt at the news of the betrayal, and begs you to rescue the surviving captives from the clutches of the Flamefangs. Return to the Ring of Ash, and seek the counsel of Hamujj Gah."
7,"TEXT_BANAMA004_01220_SEQ_07","After explaining how each new tempered slave bolsters the strength of the enemy, the warleader bids you free those taken captive in the recent raid. Ambush the Amalj'aa gaolkeepers in the Zanr'ak encampment, and seize from them the keys to the captives' cages."
8,"TEXT_BANAMA004_01220_SEQ_08","You have slain the gaolkeepers, and obtained a fistful of keys. Locate the makeshift cages within Zahar'ak and rescue the kidnapped victims from their captors."
9,"TEXT_BANAMA004_01220_SEQ_09","You have succeeded in freeing the captives from their cages. Return to the Ring of Ash and report to Hamujj Gah."
