key,0,1
#,,
int32,str,str
0,"TEXT_REGWILCAMPBLUEFOG_00121_CRACKEDFIST_000_000","冒険者殿、私に何用ですかな？"
1,"TEXT_REGWILCAMPBLUEFOG_00121_Q1_000_000","何を聞く？"
2,"TEXT_REGWILCAMPBLUEFOG_00121_A1_000_001","あなたのことを教えてほしい"
3,"TEXT_REGWILCAMPBLUEFOG_00121_A1_000_002","ここはどんなところだ？"
4,"TEXT_REGWILCAMPBLUEFOG_00121_A1_000_003","キャンセル"
5,"TEXT_REGWILCAMPBLUEFOG_00121_CRACKEDFIST_000_010","私は、このブルーフォグに駐留する兵士をまとめております。
ガレマール帝国軍の拠点が近いこの場所は、
軍事的に重要な拠点のひとつなのです。"
6,"TEXT_REGWILCAMPBLUEFOG_00121_CRACKEDFIST_000_011","ここは大所帯ですから、
兵士たちの士気を維持するのも一苦労です。"
7,"TEXT_REGWILCAMPBLUEFOG_00121_CRACKEDFIST_000_020","ここは、不滅隊の軍事拠点です。
すぐ北の青燐精製所の先は、帝国の拠点に隣接しており、
一帯は常日頃から帝国の脅威にさらされています。"
8,"TEXT_REGWILCAMPBLUEFOG_00121_CRACKEDFIST_000_021","昔はもっと小さなキャンプだったのですが、
有事の際にすぐ対応できるよう年々拡張され、
現在の一大軍事拠点へと発展しました。"
9,"TEXT_REGWILCAMPBLUEFOG_00121_CRACKEDFIST_000_022","名前の由来は、周辺一帯に漂う青い霧です。
青燐水の発掘の際に発生する青い蒸気が、
流れてきて霧になっているのです。"
10,"TEXT_REGWILCAMPBLUEFOG_00121_CRACKEDFIST_000_050","これはこれは、<Split(<Highlight>ObjectParameter(1)</Highlight>, ,2)/>隊長。
私に、何かお答えできることがございましょうか？"
