key,0,1
#,,
int32,str,str
0,"TEXT_FESGSC001_02133_SEQ_00","※本クエストは、期間限定のクエストとなります。

ワンダースクウェアのオリア―は、新しい催しものへの参加者を募っているようだ。"
1,"TEXT_FESGSC001_02133_SEQ_01","※本クエストは、シーズナルイベント開催中にかぎり、
　受注、進行できます。
　開催期間終了後は進行できませんので、ご注意ください。
　期間等の詳細についてはLodestoneをご覧ください。

オリアーから新しい催しについての話を持ちかけられた。説明を聞いていたところ、どこからか悲鳴が聞こえた。ゴールドソーサーのラウンジ・マンダヴィルにいる「オリアー」と話そう。"
2,"TEXT_FESGSC001_02133_SEQ_02","横たわる被害者の傍らにいた、オリアーと話した。被害者ゴンカールを殺害した犯人の捜索に協力することになった。ラウンジ・マンダヴィルにいる容疑者たちから事情を聞こう。"
3,"TEXT_FESGSC001_02133_SEQ_03","容疑者たちと話した。皆、事件への関与を否定しており、犯人を特定するには至らなかった。ラウンジ・マンダヴィルの「オリアー」と話そう。"
4,"TEXT_FESGSC001_02133_SEQ_04","オリアーと話した。自分たちの手で、証拠を探しだし、犯人を特定するしかなさそうだ。ゴールドソーサー内で、犯人に繋がる証言や証拠品を探し、事件の真相を推理しよう。推理が固まったら、ラウンジ・マンダヴィルの「オリアー」と話そう。"
5,"TEXT_FESGSC001_02133_SEQ_05","オリアーと話し、事件を解決した。ラウンジ・マンダヴィルの「オリアー」と話そう。"
6,"TEXT_FESGSC001_02133_SEQ_06","オリアーと話した。ワンダースクウェアに戻り、「オリアー」と再度話そう。"
7,"TEXT_FESGSC001_02133_SEQ_07","オリアーと再度話し、一件落着となったことを感謝された。もしも引っかかる点などがあれば、オリアーに話しかけることで、推理をやり直せるようだ。"
8,"TEXT_FESGSC001_02133_SEQ_08",""
9,"TEXT_FESGSC001_02133_SEQ_09",""
10,"TEXT_FESGSC001_02133_SEQ_10",""
11,"TEXT_FESGSC001_02133_SEQ_11",""
12,"TEXT_FESGSC001_02133_SEQ_12",""
13,"TEXT_FESGSC001_02133_SEQ_13",""
14,"TEXT_FESGSC001_02133_SEQ_14",""
15,"TEXT_FESGSC001_02133_SEQ_15",""
16,"TEXT_FESGSC001_02133_SEQ_16",""
17,"TEXT_FESGSC001_02133_SEQ_17",""
18,"TEXT_FESGSC001_02133_SEQ_18",""
